transparent_spelling,opaque_spelling,opaque_dialect_spelling,non-contrastive_pronunciation,contrastive_pronunciation,testing_word,contrastive_word,phoneme_shift_count
mab,mab,NA,mab,NA,1,NA,NA
skub,skub,NA,skub,NA,1,NA,NA
klEb,klEb,NA,klEb,NA,1,NA,NA
dOlk,dOlk,NA,dOlk,NA,1,NA,NA
suld,suld,NA,suld,NA,1,NA,NA
dikla,dikla,NA,dikla,NA,1,NA,NA
luskO,luskO,NA,luskO,NA,1,NA,NA
klufE,klufE,NA,klufE,NA,1,NA,NA
klOda,klOda,NA,klOda,NA,1,NA,NA
skOnEf,skOnEf,NA,skOnEf,NA,1,NA,NA
klusim,klusim,NA,klusim,NA,1,NA,NA
flabun,flabun,NA,flabun,NA,1,NA,NA
nEsk,nEsk,nisx,nEsk,nisx,0,1,2
skEfi,skEfi,sxifi,skEfi,sxifi,0,1,2
blEkus,bnEkus,bnixus,blEkus,blixus,0,1,2
flEsOd,flEsOd,flisO,flEsOd,flisO,0,1,2
nEf,nEf,nif,nEf,nif,0,1,1
bEsmi,bEsmi,bismi,bEsmi,bismi,0,1,1
nal,nal,nOl,nal,nOl,0,1,1
daf,daf,dOf,daf,dOf,0,1,1
blaf,bnaf,bnOf,blaf,blOf,0,1,1
balf,balf,bOlf,balf,bOlf,0,1,1
dasmu,dasmu,dOsmu,dasmu,dOsmu,0,1,1
smadu,smadu,smOdu,smadu,smOdu,0,1,1
kublE,kubnE,xubnE,kublE,xublE,0,1,1
slOku,fnOku,fnOxu,slOku,slOxu,0,1,1
snid,fnid,fni,snid,sni,0,1,1
fub,fub,NA,fub,NA,0,0,NA
mif,mif,NA,mif,NA,0,0,NA
lOm,lOm,NA,lOm,NA,0,0,NA
snOf,fnOf,NA,snOf,NA,0,0,NA
blim,bnim,NA,blim,NA,0,0,NA
flOb,flOb,NA,flOb,NA,0,0,NA
mOls,mOls,NA,mOls,NA,0,0,NA
fOns,fOns,NA,fOns,NA,0,0,NA
nifs,nifs,NA,nifs,NA,0,0,NA
nOflE,nOflE,NA,nOflE,NA,0,0,NA
dEsna,dEfna,NA,dEsna,NA,0,0,NA
smiba,smiba,NA,smiba,NA,0,0,NA
flidu,flidu,NA,flidu,NA,0,0,NA
snibOl,fnibOl,NA,snibOl,NA,0,0,NA
slinab,fninab,NA,slinab,NA,0,0,NA
