"input_id","session_number","language","self_rating"
"1","1","English","5"
"2","1","japanese","1"
"3","1","mandarin","3"
"4","1","korean","1"
"5","1","french","1"
"6","1","russian","2"
"7","1","german","3"
"8","1","spanish","1"
"9","2","English","5"
"10","3","English","5"
"11","4","English","5"
"12","4","Italian","2"
"13","4","German","1"
"14","4","French","1"
"15","4","Spanish","1"
"16","5","English","5"
"17","5","Russian","5"
"18","5","French","4"
"19","6","English","5"
"20","8","English","5"
"21","7","English","5"
"22","7","German","4"
"23","9","English","5"
"24","10","English","5"
"25","10","French","4"
"26","10","Chinese","3"
"27","11","English","4"
"28","12","English","5"
"29","14","English","5"
"30","14","French","1"
"31","14","Latin","1"
"32","15","English","5"
"33","13","English","3"
"34","16","English","5"
"35","17","English","5"
"36","18","English","5"
"37","18","french ","4"
"38","19","English","5"
"39","20","English","5"
"40","20","Spanish","2"
"41","22","English","5"
"42","21","English","5"
"43","21","French","3"
"44","24","English","3"
"45","26","English","5"
"46","25","English","5"
"47","27","English","5"
"48","28","English","5"
"49","28","Norwegian","3"
"50","28","Swedish","2"
"51","28","Danish","1"
"52","28","Icelandic","1"
"53","29","English","5"
"54","31","English","5"
"55","33","English","3"
"56","34","English","5"
"57","35","English","1"
"58","35","english","5"
"59","36","English","5"
"60","36","French","1"
"61","37","English","5"
"62","38","English","5"
"63","38","Spanish","1"
"64","39","English","5"
"65","40","English","5"
"66","41","English","5"
"67","41","French","2"
"68","42","English","5"
"69","42","French","3"
"70","43","English","5"
"71","44","English","5"
"72","44","French","1"
"73","44","Spanish","1"
"74","45","English","5"
"75","46","English","5"
"76","47","English","5"
"77","48","English","5"
"78","49","English","5"
"79","50","English","5"
"80","50","Welsh","3"
"81","52","English","5"
"82","52","Arabic","4"
"83","52","French","2"
"84","51","English","5"
"85","51","French","1"
"86","53","English","5"
"87","54","English","5"
"88","55","English","5"
"89","56","English","5"
"90","57","English","5"
"91","58","English","5"
"92","58","Irish","1"
"93","58","French","1"
"94","59","English","5"
"95","60","English","5"
"96","60","Spanish","1"
"97","60","French","1"
"98","61","English","5"
"99","62","English","4"
"100","63","English","5"
"101","64","English","5"
"102","64","French","1"
"103","64","German","1"
"104","65","English","5"
"105","65","Welsh","3"
"106","66","English","5"
"107","67","English","3"
"108","68","English","5"
"109","70","English","5"
"110","71","English","5"
"111","71","French","2"
"112","71","German","2"
"113","71","Latin","2"
"114","71","Ancient Greek","1"
"115","72","English","5"
"116","72","Japanese","1"
"117","73","English","5"
"118","74","English","5"
"119","74","French","3"
"120","74","German","3"
"121","74","Japanese","1"
"122","75","English","5"
"123","76","English","5"
"124","76","Japanese","1"
"125","77","English","5"
"126","77","french","1"
"127","78","English","5"
"128","80","English","5"
"129","80","french","2"
"130","80","german","2"
"131","81","English","5"
"132","82","English","5"
"133","83","English","5"
"134","84","English","5"
"135","85","English","5"
"136","86","English","5"
"137","88","English","5"
"138","88","German","1"
"139","87","English","5"
"140","89","English","5"
"141","90","English","5"
"142","90","French","2"
"143","91","English","5"
"144","93","English","5"
"145","94","English","5"
"146","94","french","1"
"147","94","american sign language","1"
"148","95","English","5"
"149","95","Korean","4"
"150","95","French","1"
"151","95","Spanish","1"
"152","96","English","5"
"153","96","Spanish","4"
"154","96","French","1"
"155","97","English","3"
"156","97","Spanish","2"
"157","98","English","5"
"158","98","German","5"
"159","98","Dutch","3"
"160","99","English","5"
"161","100","English","5"
"162","101","English","5"
"163","101","Welsh","1"
"164","101","French","3"
"165","102","English","4"
"166","103","English","5"
"167","103","urdu","1"
"168","104","English","5"
"169","105","English","5"
"170","106","English","4"
"171","106","Singhalese","5"
"172","106","Tamil","2"
"173","107","English","5"
"174","108","English","4"
"175","109","English","5"
"176","110","English","4"
"177","111","English","5"
"178","111","German","1"
"179","112","English","5"
"180","112","French","1"
"181","112","Algerian Arabic","4"
"182","113","English","5"
"183","113","english","5"
"184","113","yoruba","4"
"185","113","hausa","2"
"186","114","English","5"
"187","115","English","5"
"188","115","French","1"
"189","115","Spanish","1"
"190","115","Japanese","1"
"191","116","English","5"
"192","117","English","5"
"193","119","English","5"
"194","118","English","5"
"195","118","German","2"
"196","120","English","5"
"197","121","English","5"
"198","124","English","5"
"199","123","English","5"
"200","125","English","5"
"201","126","English","5"
"202","126","Arabic","5"
"203","127","English","5"
"204","127","French","2"
"205","127","Spanish","1"
"206","129","English","5"
"207","128","English","5"
"208","128","german","4"
"209","128","french","2"
"210","130","English","5"
"211","130","French","2"
"212","131","English","5"
"213","131","Spanish","1"
"214","131","Greek","2"
"215","131","Latin","1"
"216","133","English","4"
"217","133","Cantonese","5"
"218","133","Korean","3"
"219","133","Mandarin","4"
"220","134","English","4"
"221","135","English","5"
"222","136","English","5"
"223","137","English","5"
"224","138","English","3"
"225","138","Hindi","5"
"226","138","Bengali","2"
"227","140","English","5"
"228","141","English","3"
"229","142","English","5"
"230","143","English","4"
"231","145","English","4"
"232","144","English","5"
"233","144","French","1"
"234","146","English","5"
"235","147","English","5"
"236","147","French","1"
"237","147","Italian","1"
"238","147","German","1"
"239","148","English","5"
"240","148","French","3"
"241","149","English","4"
"242","150","English","5"
"243","150","German","2"
"244","151","English","5"
"245","152","English","5"
"246","153","English","5"
"247","155","English","5"
"248","156","English","5"
"249","154","English","5"
"250","154","French","1"
"251","157","English","5"
"252","157","german","2"
"253","158","English","5"
"254","159","English","5"
"255","161","English","5"
"256","161","Welsh","2"
"257","161","Spanish","1"
"258","161","French","1"
"259","160","English","5"
"260","160","arabic","3"
"261","160","bengali","3"
"262","160","urdu/ hindi","2"
"263","160","English","5"
"264","160","arabic","3"
"265","160","bengali","3"
"266","160","urdu/ hindi","2"
"267","162","English","5"
"268","163","English","5"
"269","163","Spanish","2"
"270","164","English","4"
"271","165","English","5"
"272","166","English","5"
"273","167","English","5"
"274","168","English","4"
"275","169","English","5"
"276","170","English","4"
"277","171","English","5"
"278","173","English","5"
"279","172","English","2"
"280","172","Punjabi","5"
"281","174","English","5"
"282","174","French","2"
"283","175","English","5"
"284","176","English","5"
"285","177","English","5"
"286","178","English","5"
"287","179","English","5"
"288","180","English","5"
"289","181","English","5"
"290","181","Spanish","3"
"291","181","Dutch","1"
"292","182","English","5"
"293","183","English","5"
"294","184","English","5"
"295","185","English","5"
"296","185","Afrikaans","5"
"297","185","Japanese","2"
"298","186","English","5"
"299","186","Malay","3"
"300","186","Arabic","2"
"301","186","German","3"
"302","186","Japanese","1"
"303","187","English","5"
"304","188","English","5"
"305","189","English","5"
"306","190","English","5"
"307","191","English","5"
"308","192","English","3"
"309","193","English","4"
"310","193","Spanish","1"
"311","194","English","5"
"312","194","Cantonese","5"
"313","195","English","5"
"314","195","Spanish","1"
"315","196","English","5"
"316","196","french","1"
"317","199","English","5"
"318","200","English","5"
"319","200","Spanish","3"
"320","201","English","5"
"321","201","French","1"
"322","201","German","1"
"323","203","English","4"
"324","204","English","5"
"325","204","German","3"
"326","204","Korean","4"
"327","204","Hebrew","2"
"328","205","English","5"
"329","206","English","5"
"330","206","French","1"
"331","206","Spanish","1"
"332","206","Croatian","3"
"333","207","English","5"
"334","207","french","1"
"335","207","german","1"
"336","208","English","5"
"337","209","English","5"
"338","209","Tamil","4"
"339","209","Hindi","4"
"340","209","French","4"
"341","210","English","5"
"342","211","English","5"
"343","211","Spanish","1"
"344","212","English","5"
"345","213","English","5"
"346","215","English","5"
"347","215","Japanese","1"
"348","215","German","2"
"349","216","English","5"
"350","216","french","4"
"351","216","german","1"
"352","217","English","5"
"353","218","English","3"
"354","219","English","5"
"355","219","French","1"
"356","219","Russian","1"
"357","220","English","5"
"358","221","English","5"
"359","221","Portuguese","5"
"360","222","English","5"
"361","223","English","5"
"362","224","English","5"
"363","224","Hindi","4"
"364","224","Portuguese","1"
"365","224","Konkani","3"
"366","225","English","5"
"367","225","Mandarin ","2"
"368","226","English","5"
"369","226","Hindi","3"
"370","226","Portuguese","2"
"371","226","Konkani","3"
"372","227","English","5"
"373","227","Yoruba","5"
"374","228","English","5"
"375","228","German","2"
"376","228","Spanish","1"
"377","229","English","5"
"378","230","English","5"
"379","231","English","5"
"380","233","English","5"
"381","232","English","5"
"382","234","English","5"
"383","234","French","1"
"384","235","English","5"
"385","235","Welsh","1"
"386","236","English","5"
"387","237","English","5"
"388","238","English","5"
"389","239","English","5"
"390","240","English","5"
"391","241","English","5"
"392","241","French","2"
"393","241","German","2"
"394","241","Dutch","1"
"395","244","English","5"
"396","244","German","1"
"397","243","English","5"
"398","245","English","5"
"399","246","English","5"
"400","246","Spanish","3"
"401","246","Italian ","1"
"402","246","French","1"
"403","247","English","5"
"404","248","English","5"
"405","248","French","4"
"406","248","Spanish","3"
"407","249","English","5"
"408","249","French","2"
"409","250","English","5"
"410","250","Bengali","4"
"411","250","Spanish","1"
"412","251","English","5"
"413","251","french","2"
"414","252","English","5"
"415","252","French","2"
"416","253","English","5"
"417","253","italian","1"
"418","253","japanese","1"
"419","253","french","1"
"420","254","English","5"
"421","254","French","1"
"422","256","English","5"
"423","255","English","5"
"424","257","English","5"
"425","259","English","5"
"426","260","English","5"
"427","261","English","5"
"428","262","English","5"
"429","262","French","2"
"430","263","English","5"
"431","264","English","5"
"432","264","French","2"
"433","266","English","5"
"434","266","Latin","1"
"435","267","English","5"
"436","268","English","5"
"437","268","italian","2"
"438","269","English","5"
"439","270","English","5"
"440","271","English","5"
"441","272","English","5"
"442","276","English","5"
"443","277","English","5"
"444","279","English","5"
"445","280","English","5"
"446","281","English","5"
"447","282","English","5"
"448","282","Spanish ","3"
"449","282","French","1"
"450","283","English","5"
"451","283","french","2"
"452","283","german","2"
"453","284","English","5"
"454","284","French","3"
"455","284","German","2"
"456","285","English","5"
"457","286","English","5"
"458","286","Russian","4"
"459","286","Spanish","3"
"460","287","English","5"
