"word_id","word","dialect_version","opaque_spelling","opaque_dialect_spelling"
"1","nEf","nif","nEf","nif"
"2","fub",,"fub",
"3","mab",,"mab",
"4","mif",,"mif",
"5","nal","nOl","nal","nOl"
"6","lOm",,"lOm",
"7","daf","dOf","daf","dOf"
"8","snid","sni","fnid","fni"
"9","snOf",,"fnOf",
"10","blim",,"bnim",
"11","blaf","blOf","bnaf","bnOf"
"12","skub",,"skub",
"13","flOb",,"flOb",
"14","klEb",,"klEb",
"15","balf","bOlf","balf","bOlf"
"16","dOlk",,"dOlk",
"17","mOls",,"mOls",
"18","fOns",,"fOns",
"19","suld",,"suld",
"20","nifs",,"nifs",
"21","nEsk","nisx","nEsk","nisx"
"22","nOflE",,"nOflE",
"23","dikla",,"dikla",
"24","dEsna",,"dEfna",
"25","dasmu","dOsmu","dasmu","dOsmu"
"26","kublE","xublE","kubnE","xubnE"
"27","bEsmi","bismi","bEsmi","bismi"
"28","luskO",,"luskO",
"29","smiba",,"smiba",
"30","skEfi","sxifi","skEfi","sxifi"
"31","klufE",,"klufE",
"32","smadu","smOdu","smadu","smOdu"
"33","klOda",,"klOda",
"34","flidu",,"flidu",
"35","slOku","slOxu","fnOku","fnOxu"
"36","skOnEf",,"skOnEf",
"37","blEkus","blixus","bnEkus","bnixus"
"38","snibOl",,"fnibOl",
"39","klusim",,"klusim",
"40","flEsOd","flisO","flEsOd","flisO"
"41","slinab",,"fninab",
"42","flabun",,"flabun",
