participant_number,variety_exposure,language_condition,social_cue_condition,dialect_training_condition,dialect_location_condition,order_condition,speaker_gender,additional_languages,language_proficiency,age,participant_gender,fun_rating,noise_rating,start_timestamp,end_timestamp
1,variety_match,standard,0,0,NA,RS,male,english,5,27,m,3,5,2019-04-01T15:30:09Z,2019-04-01T17:49:02Z
1,variety_match,standard,0,0,NA,RS,male,japanese,1,27,m,3,5,2019-04-01T15:30:09Z,2019-04-01T17:49:02Z
1,variety_match,standard,0,0,NA,RS,male,mandarin,3,27,m,3,5,2019-04-01T15:30:09Z,2019-04-01T17:49:02Z
1,variety_match,standard,0,0,NA,RS,male,korean,1,27,m,3,5,2019-04-01T15:30:09Z,2019-04-01T17:49:02Z
1,variety_match,standard,0,0,NA,RS,male,french,1,27,m,3,5,2019-04-01T15:30:09Z,2019-04-01T17:49:02Z
1,variety_match,standard,0,0,NA,RS,male,russian,2,27,m,3,5,2019-04-01T15:30:09Z,2019-04-01T17:49:02Z
1,variety_match,standard,0,0,NA,RS,male,german,3,27,m,3,5,2019-04-01T15:30:09Z,2019-04-01T17:49:02Z
1,variety_match,standard,0,0,NA,RS,male,spanish,1,27,m,3,5,2019-04-01T15:30:09Z,2019-04-01T17:49:02Z
2,variety_mismatch,dialect,0,0,NA,SR,male,english,5,31,f,4,5,2019-04-01T15:44:59Z,2019-04-01T16:48:52Z
3,dialect_literacy,dialect,1,1,mountain-village,SR,male,english,5,31,m,4,5,2019-04-01T15:48:44Z,2019-04-01T16:56:10Z
4,variety_mismatch_social,dialect,1,0,mountain-village,SR,female,english,5,59,m,4,5,2019-04-01T16:07:42Z,2019-04-01T19:30:54Z
4,variety_mismatch_social,dialect,1,0,mountain-village,SR,female,italian,2,59,m,4,5,2019-04-01T16:07:42Z,2019-04-01T19:30:54Z
4,variety_mismatch_social,dialect,1,0,mountain-village,SR,female,german,1,59,m,4,5,2019-04-01T16:07:42Z,2019-04-01T19:30:54Z
4,variety_mismatch_social,dialect,1,0,mountain-village,SR,female,french,1,59,m,4,5,2019-04-01T16:07:42Z,2019-04-01T19:30:54Z
4,variety_mismatch_social,dialect,1,0,mountain-village,SR,female,spanish,1,59,m,4,5,2019-04-01T16:07:42Z,2019-04-01T19:30:54Z
6,variety_match,standard,0,0,NA,RS,female,english,5,26,f,4,4,2019-04-16T17:55:05Z,2019-04-16T20:21:06Z
7,variety_match,standard,0,0,NA,RS,female,english,5,27,m,4,4,2019-04-16T17:57:38Z,2019-04-16T19:26:27Z
7,variety_match,standard,0,0,NA,RS,female,german,4,27,m,4,4,2019-04-16T17:57:38Z,2019-04-16T19:26:27Z
8,variety_match,standard,0,0,NA,RS,female,english,5,22,m,4,5,2019-04-16T17:57:39Z,2019-04-16T19:19:04Z
9,variety_match,standard,0,0,NA,RS,female,english,5,41,f,4,5,2019-04-16T18:00:02Z,2019-04-16T20:58:57Z
11,variety_match,standard,0,0,NA,RS,female,english,4,28,f,1,5,2019-04-16T18:04:58Z,2019-04-16T19:15:37Z
14,variety_match,standard,0,0,NA,RS,female,english,5,48,f,4,4,2019-04-16T18:17:25Z,2019-04-16T19:41:56Z
14,variety_match,standard,0,0,NA,RS,female,french,1,48,f,4,4,2019-04-16T18:17:25Z,2019-04-16T19:41:56Z
14,variety_match,standard,0,0,NA,RS,female,latin,1,48,f,4,4,2019-04-16T18:17:25Z,2019-04-16T19:41:56Z
15,variety_match,standard,0,0,NA,RS,female,english,5,28,f,5,5,2019-04-16T18:18:06Z,2019-04-16T19:30:13Z
16,variety_match,standard,0,0,NA,RS,female,english,5,46,f,4,5,2019-04-16T18:20:21Z,2019-04-16T20:27:39Z
17,variety_match,standard,0,0,NA,RS,female,english,5,30,f,4,4,2019-04-16T18:25:38Z,2019-04-16T19:49:53Z
22,variety_match,standard,0,0,NA,RS,female,english,5,35,m,5,5,2019-04-16T18:27:46Z,2019-04-16T19:40:20Z
24,variety_match,standard,0,0,NA,RS,female,english,3,28,f,4,2,2019-04-16T18:33:51Z,2019-04-16T20:06:52Z
26,variety_match,standard,0,0,NA,RS,female,english,5,19,o,4,5,2019-04-16T18:35:15Z,2019-04-16T19:47:30Z
