participant_number,task,variety_exposure,block,word_type,mean_lenient_nLED,mean_stringent_nLED,mean_exposure_test_nLED,n,adjusted_mean_lenient_nLED,adjusted_mean_stringent_nLED
1,reading,variety_match,exposure_test,contrastive,0.7480952,0.7750794,0.7323015666666667,15,0.73155552,0.7567407733333333
1,reading,variety_match,exposure_test,non_contrastive,0.7165079333333333,0.8422222,0.7323015666666667,15,0.7020740711111111,0.8194073866666667
1,reading,variety_match,test,contrastive,0.6090476666666667,0.7104762,0.7323015666666667,15,0.6017778222222222,0.6964444533333333
1,reading,variety_match,test,non_contrastive,0.5531746,0.6870635333333334,0.7323015666666667,15,0.5496296266666666,0.6745926311111111
1,reading,variety_match,test,novel,0.5886905,0.7380953333333333,0.7323015666666667,12,0.581299625,0.7182540555555555
1,spelling,variety_match,test,contrastive,0.611111,0.611111,0.7323015666666667,15,0.6037035999999999,0.6037035999999999
1,spelling,variety_match,test,non_contrastive,0.7577777333333333,0.7577777333333333,0.7323015666666667,15,0.7405925511111111,0.7405925511111111
1,spelling,variety_match,test,novel,0.6819444166666667,0.6819444166666667,0.7323015666666667,12,0.6667823819444445,0.6667823819444445
2,reading,variety_mismatch,exposure_test,contrastive,0.8004762,0.8360317333333334,0.7174603333333334,15,0.7804444533333332,0.8136296177777778
2,reading,variety_mismatch,exposure_test,non_contrastive,0.6344444666666667,0.6611111333333334,0.7174603333333334,15,0.6254815022222222,0.6503703911111111
2,reading,variety_mismatch,test,contrastive,0.5711110666666667,0.5822222,0.7174603333333334,15,0.5663703288888889,0.57674072
2,reading,variety_mismatch,test,non_contrastive,0.4655555333333333,0.49888886666666665,0.7174603333333334,15,0.4678518311111111,0.49896294222222226
2,reading,variety_mismatch,test,novel,0.8527778333333333,0.8527778333333333,0.7174603333333334,12,0.8233796805555555,0.8233796805555555
2,spelling,variety_mismatch,test,contrastive,0.8611110666666667,0.8611110666666667,0.7174603333333334,15,0.8370369955555556,0.8370369955555556
2,spelling,variety_mismatch,test,non_contrastive,0.9044444,0.9044444,0.7174603333333334,15,0.8774814400000001,0.8774814400000001
2,spelling,variety_mismatch,test,novel,0.8930555,0.8930555,0.7174603333333334,12,0.8603008750000001,0.8603008750000001
3,reading,dialect_literacy,exposure_test,contrastive,0.792963,0.8474074,0.8175926,15,0.7734321333333333,0.8242469066666668
3,reading,dialect_literacy,exposure_test,non_contrastive,0.8422222,0.8888888666666667,0.8175926,15,0.8194073866666667,0.8629629422222221
3,reading,dialect_literacy,test,contrastive,0.6344444,0.6888888666666667,0.8175926,15,0.62548144,0.6762962755555556
3,reading,dialect_literacy,test,non_contrastive,0.5911111333333333,0.6355555333333334,0.8175926,15,0.5850370577777777,0.6265184977777778
3,reading,dialect_literacy,test,novel,0.7027778333333333,0.74722225,0.8175926,12,0.6858796805555555,0.7266203958333333
3,spelling,dialect_literacy,test,contrastive,0.6822223333333334,0.6822223333333334,0.8175926,15,0.6700741777777778,0.6700741777777778
3,spelling,dialect_literacy,test,non_contrastive,0.6611110666666666,0.6611110666666666,0.8175926,15,0.6503703288888888,0.6503703288888888
3,spelling,dialect_literacy,test,novel,0.7180555833333333,0.7180555833333333,0.8175926,12,0.6998842847222222,0.6998842847222222
4,reading,variety_mismatch_social,exposure_test,contrastive,0.8214286000000001,0.8342857333333333,0.7190476333333333,15,0.8000000266666667,0.8120000177777779
4,reading,variety_mismatch_social,exposure_test,non_contrastive,0.6166666666666667,0.6833333333333333,0.7190476333333333,15,0.6088888888888888,0.6711111111111111
4,reading,variety_mismatch_social,test,contrastive,0.24000000000000002,0.25666666666666665,0.7190476333333333,15,0.25733333333333336,0.2728888888888889
4,reading,variety_mismatch_social,test,non_contrastive,0.13777773333333335,0.18777773333333334,0.7190476333333333,15,0.16192588444444447,0.20859255111111114
4,reading,variety_mismatch_social,test,novel,0.10277775,0.1305555,0.7190476333333333,12,0.13587960416666667,0.16134254166666664
4,spelling,variety_mismatch_social,test,contrastive,0.3255555333333333,0.3255555333333333,0.7190476333333333,15,0.3371851644444444,0.3371851644444444
4,spelling,variety_mismatch_social,test,non_contrastive,0.3,0.3,0.7190476333333333,15,0.31333333333333335,0.31333333333333335
4,spelling,variety_mismatch_social,test,novel,0.15555558333333333,0.15555558333333333,0.7190476333333333,12,0.1842592847222222,0.1842592847222222
6,reading,variety_match,exposure_test,contrastive,0.9155555333333333,0.9266666666666666,0.9033333,15,0.8878518311111111,0.8982222222222221
6,reading,variety_match,exposure_test,non_contrastive,0.8911110666666667,0.8911110666666667,0.9033333,15,0.8650369955555557,0.8650369955555557
6,reading,variety_match,test,contrastive,0.22,0.27999999999999997,0.9033333,15,0.23866666666666667,0.2946666666666667
6,reading,variety_match,test,non_contrastive,0.03888886666666667,0.05555553333333333,0.9033333,15,0.06962960888888887,0.08518516444444443
6,reading,variety_match,test,novel,0.23611116666666668,0.2527778333333333,0.9033333,12,0.2581019027777778,0.27337968055555556
6,spelling,variety_match,test,contrastive,0.24555553333333333,0.24555553333333333,0.9033333,15,0.2625184977777778,0.2625184977777778
6,spelling,variety_match,test,non_contrastive,0.2322222,0.2322222,0.9033333,15,0.2500740533333333,0.2500740533333333
6,spelling,variety_match,test,novel,0.11666666666666667,0.11666666666666667,0.9033333,12,0.1486111111111111,0.1486111111111111
7,reading,variety_match,exposure_test,contrastive,0.9380952666666666,0.9380952666666666,0.8308730333333333,15,0.9088889155555556,0.9088889155555556
7,reading,variety_match,exposure_test,non_contrastive,0.7236508,0.7369841333333333,0.8308730333333333,15,0.7087407466666668,0.7211851911111111
7,reading,variety_match,test,contrastive,0.0977778,0.21555553333333333,0.8308730333333333,15,0.12459261333333332,0.23451849777777778
7,reading,variety_match,test,non_contrastive,0.09333333333333334,0.1344444,0.8308730333333333,15,0.12044444444444444,0.15881477333333333
7,reading,variety_match,test,novel,0.03472225,0.0694445,0.8308730333333333,12,0.07349539583333334,0.105324125
7,spelling,variety_match,test,contrastive,0.0977778,0.0977778,0.8308730333333333,15,0.12459261333333332,0.12459261333333332
7,spelling,variety_match,test,non_contrastive,0.18111106666666668,0.18111106666666668,0.8308730333333333,15,0.2023703288888889,0.2023703288888889
7,spelling,variety_match,test,novel,0.10555558333333334,0.10555558333333334,0.8308730333333333,12,0.13842595138888888,0.13842595138888888
8,reading,variety_match,exposure_test,contrastive,0.8722222000000001,0.9144444,0.8238888666666667,15,0.8474073866666667,0.8868147733333334
8,reading,variety_match,exposure_test,non_contrastive,0.7755555333333334,0.8188888666666667,0.8238888666666667,15,0.7571851644444444,0.7976296088888889
8,reading,variety_match,test,contrastive,0.6077777333333333,0.6722222,0.8238888666666667,15,0.6005925511111111,0.66074072
8,reading,variety_match,test,non_contrastive,0.6122222,0.6722222,0.8238888666666667,15,0.6047407200000001,0.66074072
8,reading,variety_match,test,novel,0.6583334166666667,0.7388889166666667,0.8238888666666667,12,0.6451389652777778,0.7189815069444445
8,spelling,variety_match,test,contrastive,0.6,0.6,0.8238888666666667,15,0.5933333333333334,0.5933333333333334
8,spelling,variety_match,test,non_contrastive,0.6088888666666666,0.6088888666666666,0.8238888666666667,15,0.6016296088888888,0.6016296088888888
8,spelling,variety_match,test,novel,0.7041666666666667,0.7041666666666667,0.8238888666666667,12,0.6871527777777778,0.6871527777777778
9,reading,variety_match,exposure_test,contrastive,0.48333326666666665,0.5744444,0.5638888666666667,15,0.48444438222222225,0.56948144
9,reading,variety_match,exposure_test,non_contrastive,0.6444444666666667,0.7465078666666667,0.5638888666666667,15,0.6348148355555556,0.730074008888889
9,reading,variety_match,test,contrastive,0.05777773333333333,0.12333326666666666,0.5638888666666667,15,0.08725921777777777,0.14844438222222223
9,reading,variety_match,test,non_contrastive,0.10666666666666666,0.15333333333333332,0.5638888666666667,15,0.1328888888888889,0.17644444444444443
9,reading,variety_match,test,novel,0.10833333333333334,0.14305558333333335,0.5638888666666667,12,0.14097222222222222,0.17280095138888893
