participant_number,primary_coded,secondary_coded,total_trials
1,72,72,72
2,72,72,72
3,72,72,72
4,72,72,72
6,72,72,72
7,72,72,72
8,72,72,72
9,72,72,72
11,72,72,72
14,72,72,72
15,72,72,72
16,72,72,72
17,72,72,72
22,72,72,72
24,72,72,72
26,72,72,72
29,72,72,72
31,72,72,72
34,72,72,72
36,72,72,72
37,72,72,72
38,72,72,72
39,72,72,72
40,72,72,72
41,72,72,72
44,72,72,72
45,72,72,72
47,72,72,72
48,72,72,72
52,72,72,72
54,72,72,72
56,72,72,72
57,72,72,72
58,72,72,72
60,72,72,72
63,72,72,72
64,72,72,72
67,72,72,72
70,72,72,72
73,72,72,72
74,72,72,72
75,72,72,72
77,72,72,72
80,72,72,72
83,72,72,72
84,72,72,72
85,72,72,72
87,72,72,72
88,72,72,72
90,72,72,72
91,72,72,72
93,72,72,72
94,72,72,72
95,72,72,72
96,72,72,72
97,72,72,72
98,72,72,72
101,72,72,72
103,72,72,72
104,72,72,72
106,72,72,72
107,72,72,72
109,72,72,72
110,72,72,72
111,72,72,72
112,72,72,72
114,72,72,72
115,72,72,72
117,72,72,72
119,72,72,72
121,72,72,72
123,72,72,72
125,72,72,72
126,72,72,72
127,72,72,72
128,72,72,72
129,72,72,72
131,72,72,72
133,72,72,72
134,72,72,72
136,72,72,72
138,72,72,72
141,72,72,72
144,72,72,72
146,72,72,72
147,72,72,72
148,72,72,72
149,72,72,72
150,72,72,72
151,72,72,72
152,72,72,72
153,72,72,72
154,72,72,72
155,72,72,72
156,72,72,72
160,72,72,72
161,72,72,72
162,72,72,72
163,72,72,72
164,72,72,72
165,72,72,72
168,72,72,72
171,72,72,72
172,72,72,72
175,72,72,72
177,72,72,72
180,72,72,72
185,72,72,72
186,72,72,72
190,72,72,72
192,72,72,72
193,72,72,72
195,72,72,72
196,72,72,72
199,72,72,72
200,72,72,72
201,72,72,72
204,72,72,72
206,72,72,72
207,72,72,72
208,72,72,72
209,72,72,72
212,72,72,72
215,72,72,72
216,72,72,72
217,72,72,72
219,72,72,72
220,72,72,72
221,72,72,72
223,72,72,72
225,72,72,72
227,72,72,72
229,72,72,72
230,72,72,72
231,72,72,72
233,72,72,72
239,72,72,72
240,72,72,72
243,72,72,72
246,72,72,72
247,72,72,72
248,72,72,72
251,72,72,72
252,72,72,72
259,72,72,72
263,72,72,72
266,72,72,72
267,72,72,72
270,72,72,72
271,72,72,72
277,72,72,72
279,72,72,72
280,72,72,72
282,72,72,72
284,72,72,72
285,72,72,72
286,72,72,72
287,72,72,72
288,72,72,72
289,72,72,72
293,72,72,72
294,72,72,72
295,72,72,72
296,72,72,72
297,72,72,72
299,72,72,72
300,72,72,72
303,72,72,72
306,72,72,72
311,72,72,72
312,72,72,72
313,72,72,72
314,72,72,72
315,72,72,72
316,72,72,72
317,72,72,72
318,72,72,72
319,72,72,72
321,72,72,72
322,72,72,72
323,72,72,72
324,71,71,71
325,72,72,72
328,72,72,72
329,72,72,72
330,72,72,72
331,72,72,72
333,72,72,72
334,72,72,72
335,72,72,72
336,72,72,72
337,72,72,72
340,72,72,72
342,72,72,72
344,72,72,72
345,72,72,72
346,72,72,72
347,72,72,72
349,72,72,72
350,72,72,72
351,72,72,72
352,72,72,72
354,72,72,72
355,72,72,72
357,72,72,72
358,72,72,72
361,72,72,72
364,72,72,72
368,72,72,72
369,72,72,72
370,72,72,72
373,72,72,72
374,72,72,72
376,72,72,72
378,72,72,72
380,72,72,72
381,72,72,72
382,72,72,72
383,72,72,72
384,72,72,72
385,72,72,72
386,72,72,72
387,72,72,72
390,72,72,72
392,72,72,72
393,72,72,72
394,72,72,72
399,72,72,72
400,72,72,72
401,72,72,72
402,72,72,72
404,72,72,72
405,72,72,72
408,72,72,72
411,72,72,72
412,72,72,72
413,72,72,72
415,72,72,72
416,72,72,72
417,72,72,72
420,72,72,72
422,72,72,72
423,72,72,72
428,72,72,72
429,72,72,72
430,72,72,72
432,72,72,72
433,72,72,72
434,72,72,72
435,72,72,72
438,72,72,72
439,72,72,72
440,72,72,72
441,72,72,72
444,72,72,72
446,72,72,72
448,72,72,72
449,72,72,72
451,72,72,72
452,72,72,72
453,72,72,72
456,72,72,72
458,72,72,72
459,72,72,72
463,72,72,72
467,72,72,72
469,72,72,72
470,72,72,72
472,72,72,72
473,72,72,72
474,72,72,72
475,72,72,72
476,72,72,72
477,72,72,72
478,72,72,72
480,72,72,72
481,72,72,72
484,72,72,72
485,72,72,72
488,72,72,72
489,72,72,72
492,72,72,72
494,72,72,72
495,72,72,72
499,72,72,72
500,72,72,72
502,72,72,72
503,72,72,72
504,72,72,72
505,72,72,72
506,72,72,72
507,72,72,72
511,72,72,72
512,72,72,72
515,72,72,72
516,72,72,72
518,72,72,72
520,72,72,72
525,72,72,72
527,72,72,72
528,72,72,72
530,72,72,72
532,72,72,72
534,72,72,72
536,72,72,72
538,72,72,72
540,72,72,72
541,72,72,72
544,72,72,72
545,72,72,72
548,72,72,72
550,72,72,72
551,72,72,72
552,72,72,72
554,72,72,72
555,72,72,72
556,72,72,72
557,72,72,72
561,72,72,72
565,72,72,72
