task,variety_exposure,word_type,mean_nLED,sd_nLED,n_obs
reading,variety_match,contrastive,0.44,0.22,573
reading,variety_match,non_contrastive,0.44,0.22,546
reading,variety_match,novel,0.45,0.23,487
reading,variety_mismatch,contrastive,0.43,0.21,637
reading,variety_mismatch,non_contrastive,0.45,0.21,536
reading,variety_mismatch,novel,0.44,0.23,518
reading,variety_mismatch_social,contrastive,0.44,0.21,649
reading,variety_mismatch_social,non_contrastive,0.44,0.21,589
reading,variety_mismatch_social,novel,0.47,0.24,480
reading,dialect_literacy,contrastive,0.43,0.21,721
reading,dialect_literacy,non_contrastive,0.43,0.22,539
reading,dialect_literacy,novel,0.47,0.23,534
spelling,variety_match,contrastive,0.43,0.21,732
spelling,variety_match,non_contrastive,0.44,0.21,701
spelling,variety_match,novel,0.46,0.23,591
spelling,variety_mismatch,contrastive,0.44,0.22,733
spelling,variety_mismatch,non_contrastive,0.45,0.21,722
spelling,variety_mismatch,novel,0.44,0.23,570
spelling,variety_mismatch_social,contrastive,0.46,0.22,730
spelling,variety_mismatch_social,non_contrastive,0.47,0.22,739
spelling,variety_mismatch_social,novel,0.45,0.23,564
spelling,dialect_literacy,contrastive,0.45,0.21,767
spelling,dialect_literacy,non_contrastive,0.46,0.21,684
spelling,dialect_literacy,novel,0.47,0.23,570
