task,variety_exposure,word_type,mean_nLED,sd_nLED,n_obs
reading,variety_match,contrastive,0.26,0.31,1200
reading,variety_match,non_contrastive,0.25,0.31,1200
reading,variety_match,novel,0.31,0.34,960
reading,variety_mismatch,contrastive,0.29,0.32,1200
reading,variety_mismatch,non_contrastive,0.26,0.32,1199
reading,variety_mismatch,novel,0.32,0.34,960
reading,variety_mismatch_social,contrastive,0.33,0.33,1200
reading,variety_mismatch_social,non_contrastive,0.27,0.32,1200
reading,variety_mismatch_social,novel,0.36,0.36,960
reading,dialect_literacy,contrastive,0.33,0.31,1200
reading,dialect_literacy,non_contrastive,0.24,0.31,1200
reading,dialect_literacy,novel,0.35,0.34,960
spelling,variety_match,contrastive,0.35,0.32,1200
spelling,variety_match,non_contrastive,0.34,0.32,1200
spelling,variety_match,novel,0.34,0.32,960
spelling,variety_mismatch,contrastive,0.35,0.32,1200
spelling,variety_mismatch,non_contrastive,0.35,0.32,1200
spelling,variety_mismatch,novel,0.37,0.34,960
spelling,variety_mismatch_social,contrastive,0.39,0.34,1200
spelling,variety_mismatch_social,non_contrastive,0.38,0.34,1200
spelling,variety_mismatch_social,novel,0.38,0.35,960
spelling,dialect_literacy,contrastive,0.41,0.33,1200
spelling,dialect_literacy,non_contrastive,0.36,0.34,1199
spelling,dialect_literacy,novel,0.38,0.35,960
