variety_exposure,word_type,target,mean_nLED,sd_nLED
variety_match,contrastive,balf,0.62,0.35
variety_match,contrastive,bEsmi,0.67,0.38
variety_match,contrastive,blaf,0.62,0.36
variety_match,contrastive,blEkus,0.7,0.3
variety_match,contrastive,daf,0.55,0.44
variety_match,contrastive,dasmu,0.73,0.32
variety_match,contrastive,flEsOd,0.73,0.29
variety_match,contrastive,kublE,0.71,0.33
variety_match,contrastive,nal,0.53,0.39
variety_match,contrastive,nEf,0.7,0.34
variety_match,contrastive,nEsk,0.58,0.37
variety_match,contrastive,skEfi,0.72,0.31
variety_match,contrastive,slOku,0.65,0.35
variety_match,contrastive,smadu,0.7,0.3
variety_match,contrastive,snid,0.65,0.36
variety_match,non_contrastive,blim,0.48,0.41
variety_match,non_contrastive,dEsna,0.71,0.32
variety_match,non_contrastive,flidu,0.66,0.34
variety_match,non_contrastive,flOb,0.53,0.41
variety_match,non_contrastive,fOns,0.61,0.4
variety_match,non_contrastive,fub,0.64,0.38
variety_match,non_contrastive,lOm,0.52,0.4
variety_match,non_contrastive,mif,0.62,0.42
variety_match,non_contrastive,mOls,0.56,0.41
variety_match,non_contrastive,nifs,0.52,0.36
variety_match,non_contrastive,nOflE,0.71,0.35
variety_match,non_contrastive,slinab,0.7,0.28
variety_match,non_contrastive,smiba,0.74,0.32
variety_match,non_contrastive,snibOl,0.6,0.34
variety_match,non_contrastive,snOf,0.72,0.32
variety_mismatch,contrastive,bismi,0.58,0.38
variety_mismatch,contrastive,blixus,0.64,0.32
variety_mismatch,contrastive,blOf,0.64,0.33
variety_mismatch,contrastive,bOlf,0.55,0.38
variety_mismatch,contrastive,dOf,0.51,0.42
variety_mismatch,contrastive,dOsmu,0.66,0.29
variety_mismatch,contrastive,flisO,0.6,0.36
variety_mismatch,contrastive,nif,0.5,0.41
variety_mismatch,contrastive,nisx,0.7,0.29
variety_mismatch,contrastive,nOl,0.5,0.41
variety_mismatch,contrastive,slOxu,0.69,0.31
