variety_exposure,.value,.lower,.upper,.width,.point,.interval
Variety Match,0.687,0.628,0.733,0.95,median,qi
Variety Mismatch,0.637,0.572,0.69,0.95,median,qi
Variety Mismatch Social,0.665,0.609,0.709,0.95,median,qi
Dialect Literacy,0.661,0.596,0.712,0.95,median,qi
Variety Match,0.687,0.638,0.726,0.9,median,qi
Variety Mismatch,0.637,0.583,0.682,0.9,median,qi
Variety Mismatch Social,0.665,0.619,0.702,0.9,median,qi
Dialect Literacy,0.661,0.608,0.705,0.9,median,qi
Variety Match,0.687,0.65,0.718,0.8,median,qi
Variety Mismatch,0.637,0.596,0.673,0.8,median,qi
Variety Mismatch Social,0.665,0.63,0.694,0.8,median,qi
Dialect Literacy,0.661,0.621,0.696,0.8,median,qi
