variety_exposure,word_type,.value,.lower,.upper,.width,.point,.interval
Variety Match,Non-Contrastive,0.675,0.598,0.734,0.95,median,qi
Variety Match,Contrastive,0.7,0.635,0.749,0.95,median,qi
Variety Mismatch,Non-Contrastive,0.622,0.541,0.688,0.95,median,qi
Variety Mismatch,Contrastive,0.652,0.58,0.708,0.95,median,qi
Variety Mismatch Social,Non-Contrastive,0.645,0.574,0.7,0.95,median,qi
Variety Mismatch Social,Contrastive,0.685,0.626,0.732,0.95,median,qi
Dialect Literacy,Non-Contrastive,0.635,0.545,0.705,0.95,median,qi
Dialect Literacy,Contrastive,0.689,0.622,0.738,0.95,median,qi
Variety Match,Non-Contrastive,0.675,0.611,0.725,0.9,median,qi
Variety Match,Contrastive,0.7,0.647,0.742,0.9,median,qi
Variety Mismatch,Non-Contrastive,0.622,0.555,0.679,0.9,median,qi
Variety Mismatch,Contrastive,0.652,0.593,0.7,0.9,median,qi
Variety Mismatch Social,Non-Contrastive,0.645,0.587,0.692,0.9,median,qi
Variety Mismatch Social,Contrastive,0.685,0.636,0.725,0.9,median,qi
Dialect Literacy,Non-Contrastive,0.635,0.561,0.695,0.9,median,qi
Dialect Literacy,Contrastive,0.689,0.634,0.731,0.9,median,qi
Variety Match,Non-Contrastive,0.675,0.627,0.714,0.8,median,qi
Variety Match,Contrastive,0.7,0.66,0.733,0.8,median,qi
Variety Mismatch,Non-Contrastive,0.622,0.571,0.667,0.8,median,qi
Variety Mismatch,Contrastive,0.652,0.607,0.69,0.8,median,qi
Variety Mismatch Social,Non-Contrastive,0.645,0.6,0.683,0.8,median,qi
Variety Mismatch Social,Contrastive,0.685,0.648,0.716,0.8,median,qi
Dialect Literacy,Non-Contrastive,0.635,0.578,0.683,0.8,median,qi
Dialect Literacy,Contrastive,0.689,0.647,0.722,0.8,median,qi
