variety_exposure,word_type,.value,.lower,.upper,.width,.point,.interval
No Dialect,Non-Contrastive,0.675,0.596,0.733,0.95,median,qi
No Dialect,Contrastive,0.7,0.635,0.749,0.95,median,qi
Dialect,Non-Contrastive,0.623,0.542,0.689,0.95,median,qi
Dialect,Contrastive,0.652,0.58,0.708,0.95,median,qi
Dialect & Social,Non-Contrastive,0.645,0.574,0.7,0.95,median,qi
Dialect & Social,Contrastive,0.686,0.627,0.732,0.95,median,qi
Dialect Literacy,Non-Contrastive,0.635,0.545,0.705,0.95,median,qi
Dialect Literacy,Contrastive,0.689,0.622,0.738,0.95,median,qi
No Dialect,Non-Contrastive,0.675,0.611,0.725,0.9,median,qi
No Dialect,Contrastive,0.7,0.648,0.741,0.9,median,qi
Dialect,Non-Contrastive,0.623,0.555,0.679,0.9,median,qi
Dialect,Contrastive,0.652,0.593,0.7,0.9,median,qi
Dialect & Social,Non-Contrastive,0.645,0.587,0.692,0.9,median,qi
Dialect & Social,Contrastive,0.686,0.637,0.726,0.9,median,qi
Dialect Literacy,Non-Contrastive,0.635,0.561,0.695,0.9,median,qi
Dialect Literacy,Contrastive,0.689,0.634,0.731,0.9,median,qi
No Dialect,Non-Contrastive,0.675,0.626,0.715,0.8,median,qi
No Dialect,Contrastive,0.7,0.661,0.733,0.8,median,qi
Dialect,Non-Contrastive,0.623,0.571,0.667,0.8,median,qi
Dialect,Contrastive,0.652,0.608,0.69,0.8,median,qi
Dialect & Social,Non-Contrastive,0.645,0.601,0.683,0.8,median,qi
Dialect & Social,Contrastive,0.686,0.648,0.717,0.8,median,qi
Dialect Literacy,Non-Contrastive,0.635,0.578,0.683,0.8,median,qi
Dialect Literacy,Contrastive,0.689,0.648,0.722,0.8,median,qi
