task,variety_exposure,word_type,lenient_coder_error_types,counts,n_subj,n,proportion
Reading,No Dialect,Non-contrastive,Correct,600,74,1200,0.5
Reading,No Dialect,Non-contrastive,Dialect Word Match,0,0,0,0
Reading,No Dialect,Non-contrastive,Dialect Word Mismatch,8,7,1200,0.006666666666666667
Reading,No Dialect,Non-contrastive,Standard Word Mismatch,50,38,1200,0.041666666666666664
Reading,No Dialect,Non-contrastive,Other Mismatch,542,75,1200,0.45166666666666666
Reading,No Dialect,Contrastive,Correct,566,74,1200,0.4716666666666667
Reading,No Dialect,Contrastive,Dialect Word Match,30,23,1200,0.025
Reading,No Dialect,Contrastive,Dialect Word Mismatch,1,1,1200,8.333333333333334e-4
Reading,No Dialect,Contrastive,Standard Word Mismatch,55,33,1200,0.04583333333333333
Reading,No Dialect,Contrastive,Other Mismatch,548,73,1200,0.45666666666666667
Reading,No Dialect,Untrained,Correct,391,57,960,0.40729166666666666
Reading,No Dialect,Untrained,Dialect Word Match,0,0,0,0
Reading,No Dialect,Untrained,Dialect Word Mismatch,1,1,960,0.0010416666666666667
Reading,No Dialect,Untrained,Standard Word Mismatch,14,7,960,0.014583333333333334
Reading,No Dialect,Untrained,Other Mismatch,554,74,960,0.5770833333333333
Reading,Dialect,Non-contrastive,Correct,594,72,1199,0.4954128440366973
Reading,Dialect,Non-contrastive,Dialect Word Match,0,0,0,0
Reading,Dialect,Non-contrastive,Dialect Word Mismatch,9,9,1199,0.007506255212677231
Reading,Dialect,Non-contrastive,Standard Word Mismatch,45,27,1199,0.03753127606338615
Reading,Dialect,Non-contrastive,Other Mismatch,551,78,1199,0.45954962468723937
Reading,Dialect,Contrastive,Correct,487,73,1200,0.4058333333333333
Reading,Dialect,Contrastive,Dialect Word Match,72,43,1200,0.06
Reading,Dialect,Contrastive,Dialect Word Mismatch,9,9,1200,0.0075
Reading,Dialect,Contrastive,Standard Word Mismatch,46,32,1200,0.03833333333333333
Reading,Dialect,Contrastive,Other Mismatch,586,77,1200,0.48833333333333334
Reading,Dialect,Untrained,Correct,361,63,960,0.37604166666666666
Reading,Dialect,Untrained,Dialect Word Match,0,0,0,0
Reading,Dialect,Untrained,Dialect Word Mismatch,2,2,960,0.0020833333333333333
Reading,Dialect,Untrained,Standard Word Mismatch,14,11,960,0.014583333333333334
Reading,Dialect,Untrained,Other Mismatch,583,75,960,0.6072916666666667
Reading,Dialect & Social,Non-contrastive,Correct,541,74,1200,0.4508333333333333
Reading,Dialect & Social,Non-contrastive,Dialect Word Match,0,0,0,0
Reading,Dialect & Social,Non-contrastive,Dialect Word Mismatch,14,12,1200,0.011666666666666667
Reading,Dialect & Social,Non-contrastive,Standard Word Mismatch,65,46,1200,0.05416666666666667
Reading,Dialect & Social,Non-contrastive,Other Mismatch,580,80,1200,0.48333333333333334
Reading,Dialect & Social,Contrastive,Correct,445,65,1199,0.3711426188490409
Reading,Dialect & Social,Contrastive,Dialect Word Match,81,39,1199,0.06755629691409508
Reading,Dialect & Social,Contrastive,Dialect Word Mismatch,8,7,1199,0.006672226855713094
Reading,Dialect & Social,Contrastive,Standard Word Mismatch,52,37,1199,0.043369474562135114
Reading,Dialect & Social,Contrastive,Other Mismatch,613,78,1199,0.5112593828190158
Reading,Dialect & Social,Untrained,Correct,359,55,957,0.37513061650992685
Reading,Dialect & Social,Untrained,Dialect Word Match,0,0,0,0
Reading,Dialect & Social,Untrained,Dialect Word Mismatch,4,4,957,0.0041797283176593526
Reading,Dialect & Social,Untrained,Standard Word Mismatch,12,9,957,0.012539184952978056
Reading,Dialect & Social,Untrained,Other Mismatch,582,73,957,0.6081504702194357
Reading,Dialect Literacy,Non-contrastive,Correct,605,75,1200,0.5041666666666667
Reading,Dialect Literacy,Non-contrastive,Dialect Word Match,0,0,0,0
Reading,Dialect Literacy,Non-contrastive,Dialect Word Mismatch,11,10,1200,0.009166666666666667
Reading,Dialect Literacy,Non-contrastive,Standard Word Mismatch,39,29,1200,0.0325
