distribution,Parameter,Estimate,Est.Error,interval,Rhat,Bulk_ESS,Tail_ESS
mu,Intercept,0.34,0.03,"[0.28, 0.40]",1.00,7824,12363
mu,No Dialect,0.03,0.04,"[-0.05, 0.10]",1.00,6736,11607
mu,Dialect,-0.04,0.04,"[-0.12, 0.03]",1.00,7308,12508
mu,Dialect & Social,0.00,0.04,"[-0.07, 0.07]",1.00,6644,11987
mu,Word Type,0.03,0.02,"[-0.01, 0.07]",1.00,10320,15405
mu,No Dialect x Word Type,-0.00,0.02,"[-0.04, 0.04]",1.00,30108,19005
mu,Dialect x Word Type,-0.00,0.02,"[-0.04, 0.04]",1.00,28808,19137
mu,Dialect & Social x Word Type,0.00,0.02,"[-0.04, 0.04]",1.00,31508,19390
phi,Intercept,1.82,0.03,"[1.76, 1.88]",1.00,5350,13365
phi,No Dialect,-0.01,0.04,"[-0.09, 0.07]",1.00,12336,18285
phi,Dialect,-0.06,0.04,"[-0.14, 0.03]",1.00,12602,16852
phi,Dialect & Social,0.02,0.04,"[-0.06, 0.09]",1.00,13794,17082
phi,Word Type,0.00,0.03,"[-0.05, 0.06]",1.00,10054,17796
phi,No Dialect x Word Type,-0.03,0.04,"[-0.10, 0.05]",1.00,29030,19408
phi,Dialect x Word Type,0.01,0.04,"[-0.06, 0.08]",1.00,29955,19532
phi,Dialect & Social x Word Type,0.04,0.04,"[-0.03, 0.11]",1.00,31022,20460
zoi,Intercept,-0.14,0.10,"[-0.34, 0.05]",1.00,15525,17181
zoi,No Dialect,0.09,0.09,"[-0.08, 0.26]",1.00,13530,17076
zoi,Dialect,0.05,0.08,"[-0.12, 0.21]",1.00,13206,16313
zoi,Dialect & Social,-0.10,0.08,"[-0.26, 0.07]",1.00,13104,15637
zoi,Word Type,-0.08,0.09,"[-0.25, 0.09]",1.00,14507,15504
zoi,No Dialect x Word Type,-0.01,0.05,"[-0.11, 0.09]",1.00,25967,18558
zoi,Dialect x Word Type,-0.00,0.04,"[-0.09, 0.08]",1.00,31103,19435
zoi,Dialect & Social x Word Type,0.05,0.04,"[-0.04, 0.14]",1.00,29087,18243
coi,Intercept,1.15,0.20,"[0.76, 1.55]",1.00,11742,16173
coi,No Dialect,0.19,0.22,"[-0.23, 0.61]",1.00,11829,16574
coi,Dialect,-0.26,0.19,"[-0.64, 0.12]",1.00,9681,14910
coi,Dialect & Social,0.06,0.20,"[-0.32, 0.45]",1.00,9621,14270
coi,Word Type,0.22,0.16,"[-0.10, 0.53]",1.00,15056,16693
coi,No Dialect x Word Type,-0.05,0.14,"[-0.33, 0.23]",1.00,21307,18614
coi,Dialect x Word Type,-0.07,0.09,"[-0.24, 0.09]",1.00,31341,17516
coi,Dialect & Social x Word Type,0.01,0.09,"[-0.18, 0.20]",1.00,25910,19286
